Campaign ID,Campaign Name,Country,Application ID,Application name,Pricing Model,Bid,Impressions,Clicks,Installs,Completions,Spend,D1 Ad Revenue,D3 Ad Revenue,D7 Ad Revenue,D14 Ad Revenue,D30 Ad Revenue,D1 IAP Revenue,D3 IAP Revenue,D7 IAP Revenue,D14 IAP Revenue,D30 IAP Revenue,D1 ROAS,D3 ROAS,D7 ROAS,D14 ROAS,D30 ROAS,D1 Retention,D3 Retention,D7 Retention
4295027,Hempire - iOS - RV - US,US,46876,Hollywood Story,CPI,0.53,2020,613,16,16,39.98,1.12,2.67,3.67,4.57,5.69,0,0,0,0,0,2.79,6.67,9.18,11.43,14.24,0,0,0
4295027,Hempire - iOS - RV - US,US,241011,Car Crash!,CPI,1.3,973,287,16,16,30.56,0.72,1.28,1.39,1.61,1.61,0,0,0,0,0,2.37,4.18,4.55,5.27,5.27,0,0,0
4295027,Hempire - iOS - RV - US,US,240311,Archery Go,CPI,2.6,2127,304,15,15,37,1.9,4.86,7.32,10.73,13.75,9.99,24.97,24.97,24.97,24.97,32.13,80.61,87.27,96.49,104.64,0,0,0
4295027,Hempire - iOS - RV - US,US,208383,Fishing Papa,CPI,0.56,1740,349,15,15,18.86,3.19,4.78,8.71,12.37,16.22,1.99,1.99,1.99,1.99,1.99,27.45,35.92,56.72,76.15,96.56,0,0,0
4295027,Hempire - iOS - RV - US,US,182641,Bee Factory !,CPI,0.62,1983,588,15,15,24.85,2.13,2.89,4.34,4.52,4.52,0,0,0,0,0,8.58,11.62,17.46,18.19,18.19,0,0,0
4295027,Hempire - iOS - RV - US,US,248041,Stick Warriors: Super Hero War,CPI,0.56,3030,676,15,15,34.69,0.75,1.03,1.09,1.09,1.09,0,0,0,0,0,2.16,2.96,3.14,3.14,3.14,0,0,0
4295027,Hempire - iOS - RV - US,US,176627,Mini Golf King - Multiplayer,CPI,0.8,6567,613,15,15,28.47,2,4.36,10.29,16.56,23.56,13.97,20.95,40.9,47.87,57.85,56.11,88.88,179.82,226.32,285.95,0,0,0
4295027,Hempire - iOS - RV - US,US,259327,Idle Tap Strongman,CPI,0.56,1940,733,15,15,33.71,0.25,0.28,0.69,1.88,3.85,0,0,0,0,16.97,0.73,0.82,2.04,5.57,61.77,0,0,0
4295027,Hempire - iOS - RV - US,US,213489,Mad For Dance - Taptap Dance,CPI,0.56,1367,344,15,15,37.37,0.56,0.69,0.87,1.03,1.26,1.99,1.99,1.99,1.99,1.99,6.83,7.17,7.65,8.07,8.69,0,0,0
4295027,Hempire - iOS - RV - US,US,211323,Factory Inc.,CPI,1.3,751,218,14,14,20.66,1.88,2.52,2.59,2.63,2.63,0,0,0,0,0,9.08,12.22,12.52,12.72,12.72,0,0,0
