Site ID,Channel,Campaign Name,Country,Spend,Installs,IPM,CPI,D1 Total Revenue,D3 Total Revenue,D7 IAP Revenue,,D1 Total ROAS,D3 Total ROAS,D7 Total ROAS
268347,IronSource,nk_a16_is_01,US,135.55,164,12.53247746,0.82652439,40.8613,54.1906,58.992,41.853,0.301448174,0.399783106,0.435204722
253581,IronSource,nk_a16_is_01,US,133.85,170,14.83809025,0.787352941,35.5496,55.7707,70.5298,48.853,0.265592828,0.416665671,0.52693164
240645,IronSource,nk_a16_is_01,US,133.76,170,21.14953969,0.786823529,33.5106,60.9507,70.9088,25.123,0.250527811,0.455672099,0.530119617
193213,IronSource,nk_a16_is_01,US,133.45,157,9.069901791,0.85,24.0428,31.42,36.0013,17.465,0.180163357,0.235443987,0.269773698
239231,IronSource,nk_a16_is_01,US,132.11,156,17.41265766,0.846858974,20.6903,30.151,35.4893,18.13,0.156614185,0.228226478,0.268634471
167769,IronSource,nk_a16_is_01,US,128.6,156,16.88494426,0.824358974,15.3205,26.8297,32.4298,4.886,0.11913297,0.208629082,0.252175739
154519,IronSource,nk_a16_is_01,US,124.76,152,24.23469388,0.820789474,21.5601,32.5994,42.849,18.858,0.1728126,0.26129689,0.343451427
232599,IronSource,nk_a16_is_01,US,123.82,148,7.821583342,0.836621622,26.5499,33.83,39.2911,17.465,0.214423356,0.273219189,0.317324342
196347,IronSource,nk_a16_is_01,US,118.3,147,16.12372491,0.804761905,17.1808,26.2205,34.9613,11.172,0.145230769,0.221644125,0.295530854
246783,IronSource,nk_a16_is_01,US,116.8,138,19.31961361,0.846376812,14.9714,22.4027,27.2107,11.172,0.128179795,0.191803938,0.232968322
218553,IronSource,nk_a16_is_01,US,115.44,138,21.16239841,0.836521739,21.0507,37.2208,41.6004,21.651,0.182351871,0.322425502,0.360363825
168387,IronSource,nk_a16_is_01,US,111.03,133,23.82658545,0.83481203,34.8425,58.131,73.3504,60.018,0.313811582,0.5235612,0.660635864
185867,IronSource,nk_a16_is_01,US,106.6,130,11.72650189,0.82,15.7699,23.3706,28.7796,8.379,0.147935272,0.219236398,0.269977486
198027,IronSource,nk_a16_is_01,US,103,124,20.22178735,0.830645161,17.3703,22.8503,27.1303,20.209,0.168643689,0.221847573,0.263400971
237121,IronSource,nk_a16_is_01,US,99.84,119,12.76550097,0.838991597,22.1102,29.8398,34.9301,14.665,0.22145633,0.298876202,0.349860777
255871,IronSource,nk_a16_is_01,US,99.26,121,18.76259885,0.820330579,15.0509,23.3607,27.6203,18.158,0.15163107,0.235348579,0.27826214
267037,IronSource,nk_a16_is_01,US,96.75,115,19.01140684,0.841304348,7.0193,12.3311,15.6592,3.493,0.072550904,0.12745323,0.161852196
221019,IronSource,nk_a16_is_01,US,96.45,114,25.11013216,0.846052632,32.9113,39.1414,46.4504,32.13,0.341226542,0.405820632,0.481600829
114069,IronSource,nk_a16_is_01,US,93.52,113,8.255406195,0.827610619,16.7199,21.0802,22.8796,13.972,0.178784217,0.225408469,0.244649273
206407,IronSource,nk_a16_is_01,US,92.9,113,9.256983698,0.822123894,10.8394,20.7596,28.3794,10.479,0.116678149,0.223461787,0.305483315
249041,IronSource,nk_a16_is_01,US,92.75,113,27.07235266,0.82079646,13.2711,18.6502,22.4811,15.358,0.143084636,0.201080323,0.242383827
247373,IronSource,nk_a16_is_01,US,92.38,112,12.79122887,0.824821429,12.3495,18.4205,30.9995,23.73,0.133681533,0.199399221,0.335565057
160635,IronSource,nk_a16_is_01,US,91.4,109,14.86025903,0.83853211,17.5,22.8901,25.7798,10.479,0.191466083,0.250438731,0.282054705
245123,IronSource,nk_a16_is_01,US,87.85,105,7.986612915,0.836666667,7.95,18.4396,25.2401,10.479,0.090495162,0.209898691,0.28730905
234607,IronSource,nk_a16_is_01,US,86.75,105,10.64368981,0.826190476,13.6705,24.1501,27.6005,6.986,0.157585014,0.27838732,0.318161383
200121,IronSource,nk_a16_is_01,US,85.13,104,12.87766221,0.818557692,10.8199,19.6205,24.1205,4.879,0.127098555,0.230476918,0.283337249
257701,IronSource,nk_a16_is_01,US,85.1,103,12.26190476,0.826213592,14.3191,19.1397,20.5496,12.565,0.168262045,0.224908343,0.241475911
240123,IronSource,nk_a16_is_01,US,83.83,100,12.37011381,0.8383,17.4,26.3598,32.7098,23.037,0.207562925,0.314443517,0.390192055
256959,IronSource,nk_a16_is_01,US,83.25,101,15.37524737,0.824257426,15.1309,20.2808,23.4097,16.065,0.181752553,0.243613213,0.281197598
189195,IronSource,nk_a16_is_01,US,82.26,101,23.62573099,0.814455446,20.5301,25.8499,29.3901,13.972,0.249575735,0.314246292,0.357283005
